command,officers,avg_base_salary,avg_regular_hours,avg_regular_paid,avg_ot_hours,avg_ot_paid,avg_other_paid,avg_total_paid,avg_years_on_force,total_base_salary,total_regular_hours,total_regular_paid,total_ot_hours,total_ot_paid,total_other_paid,total_total_paid,total_years_on_force
COURT MONITORING UNIT 2 (BX/QNS/TLC),10,110187.4,2080,108608.1,109.2,7168.8,15143.7,130920.6,19.584200913242007,1101874,20800,1086081,1092,71688,151437,1309206,195.84200913242006
CRC CANINE UNIT,29,89098.44827586207,2080,88797.24137931035,710.8275862068965,25725.103448275862,17867.137931034482,132389.4827586207,13.643430168477403,2583855,60320,2575120,20614,746028,518147,3839295,395.6594748858447
CRD SPARTA GROUP,12,110088.75,2080,108871.08333333333,484.0833333333333,34463.666666666664,17251,160585.75,20.83934550989345,1321065,24960,1306453,5809,413564,207012,1927029,250.07214611872143
CREATIVE SERVICES SECTION,5,92512,2080,92251,145.8,8232.6,16309.8,116793.4,16.70689497716895,462560,10400,461255,729,41163,81549,583967,83.53447488584476
CRIME SCENE UNIT,65,99213.78461538462,2081.2615384615383,98162.21538461538,438.10769230769233,25524.8,17737.26153846154,141424.27692307692,16.815591851071304,6448896,135282,6380544,28477,1659112,1152922,9192578,1093.0134703196347
CRIMINAL ENTERPRISE DIVISION,6,146088,2087,145894.33333333334,223.16666666666666,18687.333333333332,15461,180042.66666666666,26.655764840182652,876528,12522,875366,1339,112124,92766,1080256,159.9345890410959
CRIMINAL ENTERPRISE INVEST SEC,63,107059.76190476191,2081.3333333333335,106126.58730158731,463.63492063492066,29848,16941.222222222223,152915.80952380953,17.80068674349496,6744765,131124,6685975,29209,1880424,1067297,9633696,1121.4432648401826
CRIMINAL INTELLIGENCE SECTION,142,103030.49295774648,2078.894366197183,101404.87323943662,402.22535211267603,22502.077464788734,17703.021126760563,141609.97183098592,16.479082256093655,14630330,295203,14399492,57116,3195295,2513829,20108616,2340.029680365299
CRIMINAL JUSTICE BUREAU,9,132494.88888888888,2080,130703.11111111111,199.44444444444446,13036.777777777777,15273,159012.88888888888,21.71208777270421,1192454,18720,1176328,1795,117331,137457,1431116,195.40878995433786
CRITICAL RESPONSE COMMAND,376,89932.04787234042,2077.7686170212764,89650.13031914894,320.875,14632.367021276596,18793.186170212764,123075.6835106383,14.158368551442726,33814450,781241,33708449,120649,5501770,7066238,46276457,5323.546575342465
CSO INVESTIGATIONS UNIT,7,121412,2080,120447.42857142857,117.85714285714286,7505.142857142857,19545.571428571428,147498.14285714287,16.190280495759946,849884,14560,843132,825,52536,136819,1032487,113.33196347031964
CTB INVESTIGATIONS UNIT,2,122435.5,2080,121371.5,394.5,30355,19319,171045.5,17.163070776255708,244871,4160,242743,789,60710,38638,342091,34.326141552511416
DA SQ NY COUNTY,10,109646,2084.2,108620.7,426.1,32894,17162.2,158676.9,22.499805936073063,1096460,20842,1086207,4261,328940,171622,1586769,224.99805936073062
DA SQUAD BRONX,8,105777.5,2080,104360.25,422,29719,17546,151625.25,22.544577625570778,846220,16640,834882,3376,237752,140368,1213002,180.35662100456622
DA SQUAD BROOKLYN,9,106175.55555555556,2080,105871.44444444444,406.77777777777777,31409.222222222223,18775.88888888889,156056.55555555556,24.388825469304923,955580,18720,952843,3661,282683,168983,1404509,219.4994292237443
DA SQUAD QUEENS,14,103111.71428571429,2080,102189.64285714286,442.57142857142856,26391,17919,146499.64285714287,21.12415198956295,1443564,29120,1430655,6196,369474,250866,2050995,295.7381278538813
DA SQUAD SI,14,121732.21428571429,2089,121247,449.14285714285717,35325.857142857145,19155.14285714286,175728,28.050782778864967,1704251,29246,1697458,6288,494562,268172,2460192,392.71095890410953
DB INVESTIGATIONS UNIT,15,130729.46666666666,2087.866666666667,133100.06666666668,431.6,24897.533333333333,21239.8,179237.4,20.339292237442923,1960942,31318,1996501,6474,373463,318597,2688561,305.08938356164384
DB INVESTIGATIVE SUPPORT,1,240511,2080,200557,270,10204,23903,234664,32.43299086757991,240511,2080,200557,270,10204,23903,234664,32.43299086757991
DB SPECIALTY ENFORCEMENT DIVISION,3,200566.66666666666,2080,200001.66666666666,0.6666666666666666,80.66666666666667,17453,217535.33333333334,30.295966514459668,601700,6240,600005,2,242,52359,652606,90.887899543379
DB TRANSIT SPECIAL INV UNIT,8,100255.375,2086.625,98024.125,415,24789.625,19530,142343.75,19.089483447488583,802043,16693,784193,3320,198317,156240,1138750,152.71586757990866
DCCPART YOUTH STRATEGIES UNIT,2,91308,2080,91050.5,94.5,5883,15807,112740.5,15.153481735159819,182616,4160,182101,189,11766,31614,225481,30.306963470319637
DCMB INVESTIGATIONS UNIT,5,112508.8,2088.4,110635.2,236.4,18019.6,17457.4,146112.2,19.96666666666667,562544,10442,553176,1182,90098,87287,730561,99.83333333333334
DCSI CHANGE MANAGEMENT OFFICE,3,115950.33333333333,2094.3333333333335,115473.66666666667,85.66666666666667,5753,19797,141023.66666666666,12.722412480974123,347851,6283,346421,257,17259,59391,423071,38.16723744292237
DCSI DESIGN & EVAL OFFICE,2,137299.5,2101,129600.5,186.5,16566.5,16646,162813,19.40148401826484,274599,4202,259201,373,33133,33292,325626,38.80296803652968
DCSI OFF OF RESEARCH & INNOV,3,120047.33333333333,2080,131507,70.66666666666667,8300,15619,155426,16.077663622526636,360142,6240,394521,212,24900,46857,466278,48.23299086757991
DCSI PROJECT MANAGEMENT OFFICE,2,87241,2080,86934,76,3440,16921,107295,8.397374429223744,174482,4160,173868,152,6880,33842,214590,16.794748858447488
DEP COMM COMMUNITY PARTNERSHIPS,8,113368.5,2080,109424.875,157.875,11343.75,17487.25,138255.875,14.19935787671233,906948,16640,875399,1263,90750,139898,1106047,113.59486301369864
DEP COMM DEPARTMENT ADVOCATE,17,95219.64705882352,2084.176470588235,91682.70588235294,125.6470588235294,8210.64705882353,15490.64705882353,115384,14.910300832661829,1618734,35431,1558606,2136,139581,263341,1961528,253.47511415525108
DEP COMM EMPLOYEE RELATIONS,7,123857.71428571429,2086,119647.14285714286,170,12972.857142857143,17715.571428571428,150335.57142857142,18.61183953033268,867004,14602,837530,1190,90810,124009,1052349,130.28287671232877
DEP COMM EQUITY & INCLUSION,10,111194.1,2034.2,110240.4,168.4,12832.1,14157.8,137230.3,14.054303652968036,1111941,20342,1102404,1684,128321,141578,1372303,140.54303652968036
DEP COMM INTEL & COUNTERTERRORISM,5,115721.4,2080,115079,301.8,25469.6,16419.8,156968.4,21.386963470319635,578607,10400,575395,1509,127348,82099,784842,106.93481735159818
DEP COMM LABOR RELATIONS,10,119459.7,2087.6,120020.3,143.2,9684.7,12673.9,142378.9,16.13021689497717,1194597,20876,1200203,1432,96847,126739,1423789,161.3021689497717
DEP COMM MANAGEMENT & BUDGET,10,128687,2080,126716.7,200.6,14133.1,18139.7,158989.5,20.912968036529684,1286870,20800,1267167,2006,141331,181397,1589895,209.12968036529682
DEP COMM PUBLIC INFORMATION,30,111453.26666666666,2082.8,109548.3,233.73333333333332,13866.4,17782.5,141197.2,17.891510654490105,3343598,62484,3286449,7012,415992,533475,4235916,536.7453196347032
DEP COMM STRATEGIC COMMUNICATIONS,2,110746.5,2080,110420.5,164.5,13489,14880,138789.5,17.915182648401824,221493,4160,220841,329,26978,29760,277579,35.83036529680365
DEP COMM STRATEGIC INITIATIVES,1,97324,2080,97050,2,79,14911,112040,9.394634703196347,97324,2080,97050,2,79,14911,112040,9.394634703196347
DEP COMM TRIALS,5,87776.2,2080,87270,81.8,2915.4,13667.4,103852.8,12.99513698630137,438881,10400,436350,409,14577,68337,519264,64.97568493150685
DEPT OF INVESTIGATION SQUAD,15,112475.53333333334,2082.8,111357.53333333334,400.8,28486.8,18315.866666666665,158160.2,19.84939878234399,1687133,31242,1670363,6012,427302,274738,2372403,297.74098173515983
DET BORO BKLYN NO HOMICIDE SQ,19,110348.31578947368,2082.2105263157896,109150.73684210527,595.2631578947369,35216.47368421053,20525.263157894737,164892.47368421053,22.680389329488104,2096618,39562,2073864,11310,669113,389980,3132957,430.927397260274
DET BORO BKLYN NORTH OPER,3,106726.33333333333,2080,106425.66666666667,370.6666666666667,21640,16589,144654.66666666666,18.02195585996956,320179,6240,319277,1112,64920,49767,433964,54.06586757990868
DET BORO BKLYN SO HOMICIDE SQ,19,110372.63157894737,2080,109974.52631578948,595,31953.894736842107,20620.42105263158,162548.84210526315,20.850997356404704,2097080,39520,2089516,11305,607124,391788,3088428,396.16894977168937
DET BORO BKLYN SOUTH,20,138332.05,2082.15,138310.5,210.5,12866.75,20495.05,171672.3,18.708852739726023,2766641,41643,2766210,4210,257335,409901,3433446,374.1770547945205
DET BORO BKLYN SOUTH OPER,4,97168.75,2088.75,97332,440.5,19450,21380.75,138162.75,18.272688356164387,388675,8355,389328,1762,77800,85523,552651,73.09075342465755
DET BORO BRONX,39,105972.89743589744,2080,104475.66666666667,197.3846153846154,13136.666666666666,18055.51282051282,135667.84615384616,15.338833274792181,4132943,81120,4074551,7698,512330,704165,5291046,598.214497716895
DET BORO BRONX OPER,2,144843.5,2080,144435.5,46.5,3983,20758,169176.5,31.145262557077626,289687,4160,288871,93,7966,41516,338353,62.29052511415525
DET BORO BRONX ZONE #9,1,171310,2080,170827,270,9269,32181,212277,26.852054794520548,171310,2080,170827,270,9269,32181,212277,26.852054794520548
DET BORO BROOKLYN NORTH,31,100935.7741935484,2074.1935483870966,98803.41935483871,112.3225806451613,6999.354838709677,17723.90322580645,123526.67741935483,14.257858300191481,3129009,64300,3062906,3482,216980,549441,3829327,441.99360730593594
DET BORO BX HOMICIDE SQ,22,107540,2080,105453.86363636363,462.40909090909093,29788.090909090908,19748,154989.95454545456,21.398931091739314,2365880,45760,2319985,10173,655338,434456,3409779,470.7764840182649
DET BORO MAN NO HOMICIDE SQ,15,111843.6,2085.133333333333,110893.53333333334,509.73333333333335,34524.46666666667,20760.6,166178.6,23.658531202435313,1677654,31277,1663403,7646,517867,311409,2492679,354.8779680365297
DET BORO MAN NORTH OPER,1,180327,2080,179819,67,2263,30970,213052,40.87123287671233,180327,2080,179819,67,2263,30970,213052,40.87123287671233
DET BORO MAN SO HOMICIDE SQ,12,110836.75,2083.4166666666665,110561,580,35228.666666666664,19469.083333333332,165258.75,20.402102359208524,1330041,25001,1326732,6960,422744,233629,1983105,244.82522831050227
DET BORO MAN SOUTH OPER,2,138825.5,2080,138434.5,93,5204,19965.5,163604,25.897374429223746,277651,4160,276869,186,10408,39931,327208,51.79474885844749
DET BORO MANHATTAN NORTH,35,109081.31428571428,2082.714285714286,108066.2,184.68571428571428,11250.657142857142,18721.82857142857,138038.6857142857,16.947312459230265,3817846,72895,3782317,6464,393773,655264,4831354,593.1559360730593
DET BORO MANHATTAN SOUTH,26,109096.65384615384,2081.6153846153848,108196.57692307692,214.3846153846154,11513.423076923076,18914.53846153846,138624.53846153847,15.697220758693362,2836513,54122,2813111,5574,299349,491778,3604238,408.1277397260274
DET BORO MANHATTAN ZONE #1,1,141422,2080,140159,1,70,18070,158299,15.402853881278538,141422,2080,140159,1,70,18070,158299,15.402853881278538
DET BORO MANHATTAN ZONE #2,1,138620,2080,136673,17,1200,20147,158020,15.402853881278538,138620,2080,136673,17,1200,20147,158020,15.402853881278538
DET BORO MANHATTAN ZONE #5,1,171310,2080,170827,0,0,30731,201558,21.764383561643836,171310,2080,170827,0,0,30731,201558,21.764383561643836
DET BORO MANHATTAN ZONE #6,1,138600,2080,136684,192,13163,19097,168944,14.898630136986302,138600,2080,136684,192,13163,19097,168944,14.898630136986302
DET BORO QNS NORTH HOMICIDE SQ,12,111767.58333333333,2080,109290.41666666667,647.1666666666666,34567,21184,165041.41666666666,21.54552891933029,1341211,24960,1311485,7766,414804,254208,1980497,258.5463470319635
DET BORO QNS NORTH OPER,2,138825.5,2080,138434.5,173.5,7846,18996.5,165277,20.14252283105023,277651,4160,276869,347,15692,37993,330554,40.28504566210046
DET BORO QNS SOUTH OPER,1,97324,2080,97050,239,18318,16836,132204,19.43025114155251,97324,2080,97050,239,18318,16836,132204,19.43025114155251
DET BORO QUEENS NORTH,19,124039.15789473684,2080,122863.63157894737,170.73684210526315,11053.736842105263,20435.894736842107,154353.26315789475,21.084006248497957,2356744,39520,2334409,3244,210021,388282,2932712,400.59611872146115
DET BORO QUEENS SOUTH,22,114687.18181818182,2080,113561.5,130.0909090909091,7716.636363636364,18137.090909090908,139415.22727272726,14.898443337484434,2523118,45760,2498353,2862,169766,399016,3067135,327.76575342465753
DET BORO QUEENS ZONE #16,1,171310,2080,170827,0,0,28818,199645,26.852054794520548,171310,2080,170827,0,0,28818,199645,26.852054794520548
DET BORO STATEN ISLAND,15,114832.66666666667,2080,114033,227.46666666666667,13233.6,19656.2,146922.8,18.655068493150683,1722490,31200,1710495,3412,198504,294843,2203842,279.82602739726025
DETECTIVE BUREAU,50,112786.2,2080.26,112433.18,308.7,18812.04,17202.86,148448.08,18.08763242009132,5639310,104013,5621659,15435,940602,860143,7422404,904.3816210045661
DISORDER CONTROL UNIT,14,95699.78571428571,2080,95232.64285714286,581.5,30949.714285714286,17959.785714285714,144142.14285714287,14.95957273320287,1339797,29120,1333257,8141,433296,251437,2017990,209.43401826484018
DNA COLD CASE SQUAD,4,107384.75,2090.25,107776.25,497.25,29969.75,17978,155724,21.154851598173515,429539,8361,431105,1989,119879,71912,622896,84.61940639269406
DOCUMENT FRAUD SQUAD,3,106726.33333333333,2080,106425.66666666667,439.3333333333333,31892,14821.666666666666,153139.33333333334,21.8074200913242,320179,6240,319277,1318,95676,44465,459418,65.4222602739726
DOMESTIC VIOLENCE INSP. UNIT,6,101008,2080,98631.16666666667,186.66666666666666,13322.333333333334,14968.5,126922,16.328405631659056,606048,12480,591787,1120,79934,89811,761532,97.97043378995434
DRIVER EDUCATION & TRAINING UNIT,23,90157.73913043478,2080,89547.43478260869,265.9130434782609,17487.08695652174,15995.304347826086,123029.82608695653,13.963276752034941,2073628,47840,2059591,6116,402203,367892,2829686,321.15536529680367
DRUG ENFORCEMENT TASK FORCE,70,111184.65714285715,2086.342857142857,111029.9,680.8285714285714,39094.92857142857,18751.542857142857,168876.37142857144,20.540231572080895,7782926,146044,7772093,47658,2736645,1312608,11821346,1437.8162100456627
EEO INVESTIGATIONS UNIT,13,109856.30769230769,1967.1538461538462,101743.07692307692,223.76923076923077,16884,16530,135157.07692307694,17.352669476642077,1428132,25573,1322660,2909,219492,214890,1757042,225.584703196347
EMER SERV SQ 01,26,94505.57692307692,2050.923076923077,93553.34615384616,344.38461538461536,17629.19230769231,18270.46153846154,129453,17.730308219178077,2457145,53324,2432387,8954,458359,475032,3365778,460.98801369863
EMER SERV SQ 02,26,94812.34615384616,2080,94523.69230769231,361.9230769230769,17552.30769230769,18489.26923076923,130565.26923076923,15.771320688443975,2465121,54080,2457616,9410,456360,480721,3394697,410.0543378995433
EMER SERV SQ 03,21,96169.61904761905,2082.095238095238,95738.90476190476,373.6666666666667,19924.666666666668,18787.85714285714,134451.42857142858,16.11488910632746,2019562,43724,2010517,7847,418418,394545,2823480,338.4126712328767
EMER SERV SQ 04,21,91487,2084.095238095238,91331.90476190476,312.6666666666667,16117.952380952382,18311.333333333332,125761.19047619047,13.063486627527723,1921227,43766,1917970,6566,338477,384538,2640985,274.3332191780822
EMER SERV SQ 05,20,96547.65,2080.4,96277.6,356.75,17803.8,18660.4,132741.8,16.010490867579907,1930953,41608,1925552,7135,356076,373208,2654836,320.20981735159813
EMER SERV SQ 06,30,95714.06666666667,2085.6666666666665,95326.43333333333,355.23333333333335,18356.5,18099.966666666667,131782.9,16.530106544901066,2871422,62570,2859793,10657,550695,542999,3953487,495.90319634703195
EMER SERV SQ 07,25,98495,2080.04,97880.64,389.32,20627.24,19039.92,137547.8,18.09181735159817,2462375,52001,2447016,9733,515681,475998,3438695,452.29543378995425
EMER SERV SQ 08,28,92516.67857142857,2080,92228.32142857143,350.92857142857144,17297.25,17878.535714285714,127404.10714285714,13.415325342465747,2590467,58240,2582393,9826,484323,500599,3567315,375.6291095890409
EMER SERV SQ 09,30,94558.83333333333,2080.266666666667,94295.1,404.46666666666664,19859.2,18412.2,132566.5,16.135159817351592,2836765,62408,2828853,12134,595776,552366,3976995,484.0547945205478
EMER SERV SQ 10,29,94556.31034482758,2080,94273.44827586207,339.8965517241379,17198.51724137931,17959.55172413793,129431.5172413793,14.744800031491103,2742133,60320,2733930,9857,498757,520827,3753514,427.599200913242
EMERGENCY OPERATIONS DIVISION,1,180327,2080,179819,270,9744,31103,220666,28.27134703196347,180327,2080,179819,270,9744,31103,220666,28.27134703196347
EMERGENCY PREP & EXERCISE SECTION,17,112555.82352941176,2087.4117647058824,112480.11764705883,479.70588235294116,26604.235294117647,21519.352941176472,160603.70588235295,21.78943056674725,1913449,35486,1912162,8155,452272,365829,2730263,370.4203196347032
EMERGENCY SERVICES UNIT,106,106868.32075471699,2085.188679245283,105732.60377358491,293.9811320754717,15336.358490566037,19865.283018867925,140934.24528301886,18.600389850952027,11328042,221030,11207656,31162,1625654,2105720,14939030,1971.6413242009148
EMPLOYEE RESOURCES SECTION,2,85292,1997,81663,0,12.5,14526.5,96202,13.411073059360731,170584,3994,163326,0,25,29053,192404,26.822146118721463
EQUAL EMPLOYMENT OPPORTUNITY DIV,10,117590.4,2080,112824.1,174.6,11108.2,15813.5,139745.8,15.048276255707762,1175904,20800,1128241,1746,111082,158135,1397458,150.48276255707762
EQUIPMENT SECTION,6,82754.66666666667,2080,80478.16666666667,48.333333333333336,2875.5,13611,96964.66666666667,10.570395738203958,496528,12480,482869,290,17253,81666,581788,63.42237442922375
ESU CANINE TEAM,45,91529.82222222222,2080,90360.51111111112,744.5111111111111,25378.777777777777,19366,135105.2888888889,16.939069000507363,4118842,93600,4066223,33503,1142045,871470,6079738,762.2581050228313
EXECUTIVE PROTECTION UNIT,28,106008.35714285714,2086.0714285714284,104781.25,506.9642857142857,23141.785714285714,19679.35714285714,147602.39285714287,19.033932648401827,2968234,58410,2933875,14195,647970,551022,4132867,532.9501141552512
FACILITIES MANAGEMENT DIVISION,12,107863,2080,107054.33333333333,178.5,14048.75,16132.833333333334,137235.91666666666,15.854433028919331,1294356,24960,1284652,2142,168585,193594,1646831,190.25319634703197
FACILITY MAINTENANCE SECTION,22,104534.27272727272,2082.5,103888.18181818182,255.72727272727272,18948.409090909092,17674.81818181818,140511.4090909091,19.784127231216274,2299754,45815,2285540,5626,416865,388846,3091251,435.25079908675804
FAMILY ASSISTANCE SECTION,20,133132.7,2082.1,131138.65,158,12066.35,20220.25,163425.25,22.6951198630137,2662654,41642,2622773,3160,241327,404405,3268505,453.90239726027403
FAS EXEMPT HARDSHIP,12,106381.75,2080,106082.08333333333,0,0,22797.75,128879.83333333333,24.05535578386606,1276581,24960,1272985,0,0,273573,1546558,288.6642694063927
FAS SUPPORT TEAM,3,93106.33333333333,2080,92775.66666666667,98.66666666666667,6475.333333333333,17749,117000,21.239345509893454,279319,6240,278327,296,19426,53247,351000,63.71803652968036
FINANCIAL CRIMES TASK FORCE,18,110252.83333333333,2084.6111111111113,110231.94444444444,384.22222222222223,24660.333333333332,17100.666666666668,151992.94444444444,17.048484271943178,1984551,37523,1984175,6916,443886,307812,2735873,306.8727168949772
FIREARMS & TACTICS SECTION,160,91836.95,2080.48125,90810.33125,139.70625,7651.775,17279.19375,115741.3,15.789787385844779,14693912,332877,14529653,22353,1224284,2764671,18518608,2526.3659817351645
FIREARMS INVESTIGATION UNIT,22,102515.86363636363,2081.909090909091,103388.40909090909,688.1363636363636,34484.63636363636,17719.545454545456,155592.5909090909,14.911794312992942,2255349,45802,2274545,15139,758662,389830,3423037,328.05947488584474
FIREARMS SUPPRESSION SECTION,31,109189.80645161291,2084.064516129032,109362.93548387097,579.2258064516129,28871.225806451614,19002.870967741936,157237.03225806452,16.43471792605685,3384884,64606,3390251,17956,895008,589089,4874348,509.47625570776245
FIRST DEPUTY COMMISSIONER,21,121816.42857142857,2088.809523809524,121377.28571428571,353.1904761904762,24719.14285714286,18697.47619047619,164793.90476190476,19.51280169602087,2558145,43865,2548923,7417,519102,392647,3460672,409.76883561643825
FISCAL AFFAIRS DIVISION,2,140335,2080,158922,157.5,15656,17609,192187,19.698687214611873,280670,4160,317844,315,31312,35218,384374,39.397374429223746
FLEET SERVICES DIVISION,46,100506.54347826086,2063.978260869565,99387.58695652174,170.3695652173913,9724.173913043478,18789.717391304348,127901.47826086957,15.694346833432595,4623301,94943,4571829,7837,447312,864327,5883468,721.9399543378994
FORCE ID ZONE 1 (M/BX),1,138600,2080,136684,87,6051,22613,165348,14.405593607305937,138600,2080,136684,87,6051,22613,165348,14.405593607305937
FORCE ID ZONE 2 (BK/QNS/SI),1,141422,2080,138022,184,12799,23600,174421,14.898630136986302,141422,2080,138022,184,12799,23600,174421,14.898630136986302
FORCE INVESTIGATION DIVISION,64,108143.78125,2080,106483.953125,516.15625,28037.765625,18636.453125,153158.171875,16.392881349885844,6921202,133120,6814973,33034,1794417,1192733,9802123,1049.144406392694
FORENSIC INVESTIGATIONS DIV,6,139803.83333333334,2080,137204,241,18061.666666666668,21531.166666666668,176796.83333333334,22.370414764079147,838823,12480,823224,1446,108370,129187,1060781,134.2224885844749
FUGITIVE ENFORCEMENT DIVISION,11,101115.45454545454,2080,99555.81818181818,151.9090909090909,11539.181818181818,15248.272727272728,126343.27272727272,16.94252801992528,1112270,22880,1095114,1671,126931,167731,1389776,186.36780821917807
GRAND LARCENY DIV ZONE 1,1,171310,2080,170827,0,0,32173,203000,24.624771689497717,171310,2080,170827,0,0,32173,203000,24.624771689497717
GRAND LARCENY DIV ZONE 3,1,171310,2080,170827,0,0,22155,192982,21.764383561643836,171310,2080,170827,0,0,22155,192982,21.764383561643836
GRAND LARCENY DIVISION,15,107497.26666666666,2085.266666666667,111069.4,442.8666666666667,26000.266666666666,14339.066666666668,151408.73333333334,17.476453576864532,1612459,31279,1666041,6643,390004,215086,2271131,262.146803652968
GRANTS UNIT,1,135511,2080,132553,105,5510,25871,163934,14.898630136986302,135511,2080,132553,105,5510,25871,163934,14.898630136986302
GUN OFFENDER MONITORING UNIT,4,114436.5,2080,111123.75,541.25,34152.75,19646,164922.5,22.26652397260274,457746,8320,444495,2165,136611,78584,659690,89.06609589041096
"GUN VIOL SUPP DIV Z1 (BK,Q,SI)",50,94252.3,2080.6,92698.02,524.26,27326.7,15347.66,135372.38,13.30237671232877,4712615,104030,4634901,26213,1366335,767383,6768619,665.1188356164386
"GUN VIOL SUPP DIV Z2 (MAN,BX)",37,102018,2083.7297297297296,100105.08108108108,443.2432432432432,25788.45945945946,16385.513513513513,142279.05405405405,14.958833148216707,3774666,77098,3703888,16400,954173,606264,5264325,553.4768264840181
GUN VIOLENCE SUPPRESSION DIVISION,6,139750,2086.8333333333335,139120.16666666666,386.8333333333333,26237.166666666668,20377.666666666668,185735,19.769482496194826,838500,12521,834721,2321,157423,122266,1114410,118.61689497716895
GVSD GUN RECIDIVIST INV PROG,1,112133,2080,111676,585,35302,18704,165682,14.898630136986302,112133,2080,111676,585,35302,18704,165682,14.898630136986302
GVSD JOINT FIREARMS TASK FORCE,8,105880.25,2080,105582,525.375,30865,16817.5,153264.5,20.719606164383563,847042,16640,844656,4203,246920,134540,1226116,165.7568493150685
GVSD Z1 VIOLENCE RED T/F,89,91272.87640449438,2081.4157303370785,89455.3595505618,543.5955056179776,25285.460674157304,15664.47191011236,130405.29213483146,11.666503770971222,8123286,185246,7961527,48380,2250406,1394138,11606071,1038.3188356164387
GVSD Z2 VIOLENCE RED T/F,17,88061.70588235294,2080,87509.82352941176,486.8235294117647,23758.117647058825,14050.882352941177,125318.82352941176,11.563812785388125,1497049,35360,1487667,8276,403888,238865,2130420,196.58481735159813
H&W EMPLOYEE ASSISTANCE UNIT,22,99716,2080,99219.13636363637,229.8181818181818,12690.636363636364,17646.954545454544,129556.72727272728,15.988107098381072,2193752,45760,2182821,5056,279194,388233,2850248,351.73835616438356
H&WELL POPPA LIAISON,1,85292,2080,85051,112,7331,14629,107011,14.405593607305937,85292,2080,85051,112,7331,14629,107011,14.405593607305937
H&WELL SPORTS UNIT,3,101337.33333333333,2080,96831.33333333333,195.66666666666666,13033,16440.666666666668,126305,19.03664383561644,304012,6240,290494,587,39099,49322,378915,57.10993150684932
HARBOR UNIT,140,91981.37142857142,2080.3,91162.61428571428,177.79285714285714,9394.092857142858,18202.564285714285,118759.27142857143,15.146202707110254,12877392,291242,12762766,24891,1315173,2548359,16626298,2120.4683789954356
HATE CRIME TASK FORCE,23,107885.34782608696,2083.6521739130435,106592.73913043478,548.695652173913,30293.304347826088,18482.956521739132,155369,18.295860631328168,2481363,47924,2451633,12620,696746,425108,3573487,420.8047945205479
HAZMAT/WEAPONS OF MASS DESTRUCTION,12,108954.16666666667,2090.5833333333335,107887,327.8333333333333,17956.75,18557.666666666668,144401.41666666666,19.391885464231354,1307450,25087,1294644,3934,215481,222692,1732817,232.70262557077626
HB BRONX/QUEENS RESPONSE TEAM,28,82466.03571428571,2080,79496.46428571429,128.64285714285714,4981.107142857143,16877.821428571428,101355.39285714286,8.157611709067188,2309049,58240,2225901,3602,139471,472579,2837951,228.4131278538813
HB BROOKLYN RESPONSE TEAM,28,77903.67857142857,2080,74956,75.75,2762.464285714286,15994.67857142857,93713.14285714286,8.875509621656883,2181303,58240,2098768,2121,77349,447851,2623968,248.51426940639274
HB MANHATTAN RESPONSE TEAM,33,76134.21212121213,2069.242424242424,74428.84848484848,102.63636363636364,3835.6969696969695,15369.363636363636,93633.90909090909,7.844396014943961,2512429,68285,2456152,3387,126578,507189,3089919,258.8650684931507
HB SPECIAL OPERATIONS SECTION,5,111023,2080,110709.8,15,998.8,17097.2,128805.8,15.97595890410959,555115,10400,553549,75,4994,85486,644029,79.87979452054795
HEADQUARTERS SECURITY UNIT,75,88257.37333333334,2082.28,88106.57333333333,423.53333333333336,22171.88,18386.586666666666,128665.04,15.792476407914771,6619303,156171,6607993,31765,1662891,1378994,9649878,1184.4357305936078
HEALTH & WELLNESS SECTION,12,104880.75,2083.4166666666665,104112.66666666667,149.91666666666666,8517.916666666666,16352.333333333334,128982.91666666667,15.378833713850836,1258569,25001,1249352,1799,102215,196228,1547795,184.54600456621003
HEALTH INSURANCE SECTION,1,85292,2080,85051,394,24914,15733,125698,15.901369863013699,85292,2080,85051,394,24914,15733,125698,15.901369863013699
HIGHWAY DISTRICT,22,105164.04545454546,2083.7727272727275,104275.45454545454,360.6363636363636,17067.772727272728,19132,140475.22727272726,19.11975404732254,2313609,45843,2294060,7934,375491,420904,3090455,420.63458904109586
HIGHWAY DISTRICT SPECIALIZED TRAINING SCHOOL,20,76068.6,2082.2,75118.9,254.2,9190.5,13431.9,97741.3,8.812956621004565,1521372,41644,1502378,5084,183810,268638,1954826,176.2591324200913
HIGHWAY UNIT 5,32,91669.78125,2071.0625,91131.34375,356.5,15702.625,18830.1875,125664.15625,16.059574771689498,2933433,66274,2916203,11408,502484,602566,4021253,513.9063926940639
HIGHWAY UNIT NO 1,57,93650.64912280702,2066.245614035088,91926.85964912281,265.9824561403509,11470.315789473685,19197.315789473683,122594.49122807017,14.83375791075863,5338087,117776,5239831,15161,653808,1094247,6987886,845.5242009132419
HIGHWAY UNIT NO 2,50,92352.3,2073.44,90582.78,352.64,14277.86,19004.68,123865.32,14.50883789954338,4617615,103672,4529139,17632,713893,950234,6193266,725.441894977169
HIGHWAY UNIT NO 3,55,94168.27272727272,2081.5636363636363,94243.76363636364,371.1454545454545,16996.163636363635,19176.18181818182,130416.10909090909,15.667067247820677,5179255,114486,5183407,20413,934789,1054690,7172886,861.6886986301372
